Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M40234,DESCARTES FETAL LIVER HEPATOBLASTS,,-2.1,4,3.4,30284,500,76,5,6.6,2.8,290|3484|6581|80201|84699,ANPEP|IGFBP1|SLC22A3|HKDC1|CREB3L3,-0.12,MyList
DisGeNET,35,C0750952,Biliary Tract Cancer,,-2.1,7.2,4,30284,167,76,3,3.9,2.2,5743|9518|54658,PTGS2|GDF15|UGT1A1,-0.11,MyList
Cell Type Signatures,7,M41690,TRAVAGLINI LUNG BASOPHIL MAST 2 CELL,,-2.1,4,3.4,30284,502,76,5,6.6,2.8,5743|8878|23764|25976|122416,PTGS2|SQSTM1|MAFF|TIPARP|ANKRD9,-0.11,MyList
DisGeNET,35,C4524092,Chronic rhinosinusitis with nasal polyps,,-2.1,7.1,4,30284,168,76,3,3.9,2.2,4586|5743|8856,MUC5AC|PTGS2|NR1I2,-0.11,MyList
DisGeNET,35,C4520843,Pterygium of eye,,-2.1,7.1,4,30284,169,76,3,3.9,2.2,218|1543|5743,ALDH3A1|CYP1A1|PTGS2,-0.11,MyList
DisGeNET,35,C1867441,Pterygium Of Conjunctiva And Cornea,,-2.1,7.1,4,30284,169,76,3,3.9,2.2,218|1543|5743,ALDH3A1|CYP1A1|PTGS2,-0.11,MyList
DisGeNET,35,C0007114,Malignant neoplasm of skin,,-2,3.9,3.3,30284,506,76,5,6.6,2.8,360|1591|5743|7053|8878,AQP3|CYP24A1|PTGS2|TGM3|SQSTM1,-0.11,MyList
DisGeNET,35,C0949541,Hurthle Cell Tumor,,-2,7,4,30284,170,76,3,3.9,2.2,290|5743|7412,ANPEP|PTGS2|VCAM1,-0.1,MyList
Cell Type Signatures,7,M39160,GAO LARGE INTESTINE 24W C11 PANETH LIKE CELL,,-2,4.9,3.5,30284,325,76,4,5.3,2.6,5743|8140|9962|219855,PTGS2|SLC7A5|SLC23A2|SLC37A2,-0.1,MyList
Cell Type Signatures,7,M39074,ZHONG PFC MAJOR TYPES ASTROCYTES,,-2,4.9,3.5,30284,325,76,4,5.3,2.6,3032|6520|7412|93145,HADHB|SLC3A2|VCAM1|OLFM2,-0.1,MyList
DisGeNET,35,C0279550,Adult Rhabdomyosarcoma,,-2,3.9,3.3,30284,509,76,5,6.6,2.8,290|5465|5743|6654|8856,ANPEP|PPARA|PTGS2|SOS1|NR1I2,-0.1,MyList
DisGeNET,35,C0085633,Mood swings,,-2,7,3.9,30284,171,76,3,3.9,2.2,1917|5465|8878,EEF1A2|PPARA|SQSTM1,-0.1,MyList
DisGeNET,35,C0039538,Teratoma,,-2,7,3.9,30284,171,76,3,3.9,2.2,6520|6581|84913,SLC3A2|SLC22A3|ATOH8,-0.1,MyList
DisGeNET,35,C0031090,Periodontal Diseases,,-2,4.9,3.5,30284,326,76,4,5.3,2.6,5743|7412|8856|8878,PTGS2|VCAM1|NR1I2|SQSTM1,-0.1,MyList
DisGeNET,35,C0037763,Spasm,,-2,7,3.9,30284,172,76,3,3.9,2.2,1591|3032|8878,CYP24A1|HADHB|SQSTM1,-0.096,MyList
TRRUST,34,TRR00645,Regulated by: JUN,,-2,7,3.9,30284,172,76,3,3.9,2.2,5465|5743|7412,PPARA|PTGS2|VCAM1,-0.096,MyList
DisGeNET,35,C0524528,Pervasive Development Disorder,,-2,4.9,3.5,30284,328,76,4,5.3,2.6,1917|8605|54658|253980,EEF1A2|PLA2G4C|UGT1A1|KCTD13,-0.094,MyList
DisGeNET,35,C1334274,Invasive Carcinoma,,-2,6.9,3.9,30284,173,76,3,3.9,2.2,4586|5743|8140,MUC5AC|PTGS2|SLC7A5,-0.091,MyList
DisGeNET,35,C1333990,Hereditary Nonpolyposis Colorectal Cancer,,-2,6.9,3.9,30284,174,76,3,3.9,2.2,1543|1545|5743,CYP1A1|CYP1B1|PTGS2,-0.087,MyList
DisGeNET,35,C0029882,Otitis Media,,-2,6.9,3.9,30284,174,76,3,3.9,2.2,4586|11093|64840,MUC5AC|ADAMTS13|PORCN,-0.087,MyList
DisGeNET,35,C0220611,Childhood Rhabdomyosarcoma,,-2,3.9,3.3,30284,517,76,5,6.6,2.8,290|5465|5743|6654|8856,ANPEP|PPARA|PTGS2|SOS1|NR1I2,-0.084,MyList
DisGeNET,35,C0281361,Adenocarcinoma of pancreas,,-2,3.8,3.3,30284,518,76,5,6.6,2.8,1543|5743|8856|8878|9518,CYP1A1|PTGS2|NR1I2|SQSTM1|GDF15,-0.081,MyList
Cell Type Signatures,7,M40244,DESCARTES FETAL LUNG MYELOID CELLS,,-2,6.8,3.9,30284,176,76,3,3.9,2.2,290|5743|219855,ANPEP|PTGS2|SLC37A2,-0.077,MyList
